target_distractor,GPT2_s_sep,Surprisal_Target,Surprisal_Distractor,Condition,Item,LeoLM_tar,LeoLM_dist
Touristen,2.50372242927551,2.50372242927551,1.06301069259644,A,1,0.653357895091176,4.96250292658806
Koffer,1.06301069259644,1.76941406726837,5.61717510223389,B,1,0.679155882447958,5.92910646740347
Touristen,1.76941406726837,9.24988651275635,2.27834129333496,C,1,0.679155882447958,1.80003632907756
Koffer,5.61717510223389,2.54040315747261,13.3870595940389,A,2,1.06810559481892,15.0991728646914
Touristen,9.24988651275635,5.18264766037464,9.11368557903916,B,2,1.06810559481892,12.370315424283
Koffer,2.27834129333496,5.5776884034276,11.0362188071013,C,2,2.51919143034684,6.43313929322176
Weltkarte,2.54040315747261,0.352082516998053,18.1899836063385,A,3,0.612491183403108,14.7307306627044
Verkäuferin,13.3870595940389,0.861410921439528,17.0016471371055,B,3,0.422790108128993,13.1461607393576
Weltkarte,5.18264766037464,0.453172843903303,19.0774925705045,C,3,0.465152751212372,14.9329172676662
Verkäuferin,9.11368557903916,0.173049703240395,10.1279211044312,A,4,0.129743308061734,8.65607416629791
Weltkarte,5.5776884034276,0.27545690536499,11.375958442688,B,4,0.249920684844255,11.2263101637363
Verkäuferin,11.0362188071013,0.490048766136169,10.0648241043091,C,4,1.18454853259027,5.38979244232178
Streifenkarte,0.352082516998053,0.578318767249584,10.5773124694824,A,5,0.372101916815154,10.2977102026343
Redakteurin,18.1899836063385,0.61752156727016,10.5773124694824,B,5,1.02830619697488,10.2977102026343
Streifenkarte,0.861410921439528,0.528021838515997,10.8336229324341,C,5,0.530444890959188,9.18125506490469
Redakteurin,17.0016471371055,1.04623187985271,7.93706963490695,A,6,0.863269892055541,5.63483074915712
Streifenkarte,0.453172843903303,1.85642571747303,8.90634675882757,B,6,0.313168884487823,9.18593013961799
Redakteurin,19.0774925705045,2.40575088374317,5.93684660643339,C,6,0.71860598080093,4.85638269677293
Hammer,0.173049703240395,0.560915298759937,12.23508823663,A,7,1.48708751166123,13.688895659172
Schreiner,10.1279211044312,3.50191810261458,3.48849583789706,B,7,2.07492190953053,7.72928296861937
Hammer,0.27545690536499,4.75128397345543,6.60915595665574,C,7,11.5136190126068,14.5023533558706
Schreiner,11.375958442688,3.99289098009467,0.557846426963806,A,8,0.0891706653783331,5.57795354537666
Hammer,0.490048766136169,4.05190658569336,2.94597291946411,B,8,0.529144102853024,4.20838871679734
Schreiner,10.0648241043091,5.18101294338703,2.86148142814636,C,8,4.13334035873413,1.62712142989039
Apfelkuchen,0.578318767249584,2.65576681122184,5.30150315351784,A,9,0.869033287279308,4.72538863494992
Opa,10.5773124694824,2.93894981592894,1.50193157052854,B,9,3.72492447029799,2.02251118715503
Apfelkuchen,0.61752156727016,1.52385828644037,2.64258383587003,C,9,4.45535395666957,4.62987156421877
Opa,10.5773124694824,0.292640775442123,6.7994375647977,A,10,0.245058558182791,8.3640274759382
Apfelkuchen,0.528021838515997,1.18340837955475,6.76953440904617,B,10,5.01980413869023,10.6651538256556
Opa,10.8336229324341,9.01718997955322,1.22934599989094,C,10,3.91283955279505,1.029025091324
Frühlingsrolle,1.04623187985271,0.146091312170029,13.456259727478,A,11,0.0580229868064635,15.27845287323
Lieferbotin,7.93706963490695,0.15399894118309,9.78352451324463,B,11,0.566396293404978,10.5429248809814
Frühlingsrolle,1.85642571747303,0.506335914134979,8.54805850982666,C,11,1.30246765111588,5.28482675552368
Lieferbotin,8.90634675882757,1.02457237243652,4.5391411781311,A,12,0.0767105820123106,10.3214815667598
Frühlingsrolle,2.40575088374317,2.38767051696777,3.69733619689941,B,12,1.41293197032064,2.64897289995133
Lieferbotin,5.93684660643339,8.45547294616699,3.04959225654602,C,12,1.14691096800379,2.73900212279113
Fleischwurst,0.560915298759937,8.43118572235107,0.365408625861164,A,13,0.620135156903416,5.15193261185777
Vegetarierin,12.23508823663,11.7705612182617,1.18423234176589,B,13,6.28470849664882,2.30728591117077
Fleischwurst,3.50191810261458,15.7141132354736,0.569898738700431,C,13,6.9431706846226,2.52413766260725
Vegetarierin,3.48849583789706,0.304109364748001,6.25561857223511,A,14,0.223667802871205,7.93170090019703
Fleischwurst,4.75128397345543,1.93714010715485,5.95949745178223,B,14,0.186247855424881,9.17944851517677
Vegetarierin,6.60915595665574,1.56454002857208,3.35417771339416,C,14,1.28238291013986,3.67121421126649
Kutscher,3.99289098009467,3.00099062919617,3.2830200176686,A,15,0.352932602283545,13.134072651621
Gaul,0.557846426963806,12.5480432510376,2.53591329045594,B,15,5.76546263624914,2.71327370565268
Kutscher,4.05190658569336,14.0606956481934,1.01143843121827,C,15,8.17204076051712,6.74514455301687
Gaul,2.94597291946411,7.37793350219727,1.16694366931915,A,16,0.158644034367171,4.08792455823277
Kutscher,5.18101294338703,10.0574626922607,1.82127499580383,B,16,5.46782861817337,1.36686585634016
Gaul,2.86148142814636,10.6918992996216,5.00711345672607,C,16,5.21471758536063,7.58990616560914
Segelboot,2.65576681122184,0.623862767592073,8.55795478820801,A,17,0.164064208503987,11.3859604101162
Pärchen,5.30150315351784,0.450516342418268,9.57634449005127,B,17,0.396192660264205,5.06845314979728
Segelboot,2.93894981592894,0.62143269344233,10.3654623031616,C,17,2.55221047188388,4.64674253854173
Pärchen,1.50193157052854,0.181481823325157,4.37508926249575,A,18,0.115229661809281,6.83239322435111
Segelboot,1.52385828644037,6.15505085140467,0.157052526483312,B,18,4.27709886617959,2.34198435023427
Pärchen,2.64258383587003,6.85201428830624,0.121025134227239,C,18,2.27728620509151,0.880861699522939
Handwerker,0.292640775442123,1.01131628477015,8.17446544626728,A,19,0.268791053473251,6.04374250187539
Wasserhahn,6.7994375647977,1.5444708194118,6.31002352479845,B,19,1.84297137170506,1.20026985884761
